family,implementation,replicate,seed,sample_seconds,frechet_latent,mmd_rbf,precision_knn,recall_knn,label_entropy,class_coverage,median_nearest_train
Flow matching,mlp,0,1550,0.07948554120957851,0.11064508226128034,0.0016811589470533406,0.736,0.9277777777777778,0.9982349720957477,10.0,1.0780401013423022
Flow matching,mlp,1,1551,0.07127549964934587,0.13454682975460663,0.0022724770350737167,0.748,0.9166666666666666,0.9941066021812166,10.0,1.0603234836718864
Flow matching,mlp,2,1552,0.07438499992713332,0.1359182104348573,0.0018260038566300096,0.766,0.9277777777777778,0.9938337382697767,10.0,1.0600699160882723
Flow matching,mlp,3,1553,0.09988504182547331,0.12702062172287043,0.0017001203893056704,0.782,0.9472222222222222,0.995764743349831,10.0,1.040476321916824
Flow matching,mlp,4,1554,0.0705012921243906,0.15998172374508535,0.0027527740674146983,0.772,0.9638888888888889,0.985669435238027,10.0,1.0367318332468702
Flow matching,mlp,5,1555,0.07077937480062246,0.09197901850135537,0.0010416232732723962,0.758,0.8944444444444445,0.9942985932747794,10.0,1.0656621652529237
Flow matching,mlp,6,1556,0.0714964997023344,0.1749360402496869,0.0028843006522099035,0.768,0.9277777777777778,0.9942539515794129,10.0,1.047632318205848
Flow matching,mlp,7,1557,0.06289274990558624,0.12555810555178049,0.0025307046442402115,0.756,0.9055555555555556,0.9902984860133778,10.0,1.0627368210997976
Flow matching,linear ablation,0,1550,0.04831349989399314,0.08681599715151478,0.0013445509565077618,0.416,0.8305555555555556,0.9857038280559564,10.0,1.4958459503619146
Flow matching,linear ablation,1,1551,0.049783708062022924,0.07934890972712338,0.001893430243969929,0.446,0.7861111111111111,0.9889315876603246,10.0,1.5215357451878209
Flow matching,linear ablation,2,1552,0.0674396250396967,0.09903512343396059,0.0014291902811449653,0.442,0.8194444444444444,0.9893630305284554,10.0,1.4886919548422144
Flow matching,linear ablation,3,1553,0.05276987515389919,0.10721574373222253,0.0016045520336653851,0.45,0.8305555555555556,0.9912713169064117,10.0,1.481088732157206
Flow matching,linear ablation,4,1554,0.0540519580245018,0.0955540357451774,0.0023578065227165546,0.464,0.8416666666666667,0.977069140516487,10.0,1.47268358033199
Flow matching,linear ablation,5,1555,0.05297629162669182,0.07489825180502763,0.0010570802878846486,0.418,0.8138888888888889,0.9921365156644275,10.0,1.4963539461326731
Flow matching,linear ablation,6,1556,0.0500645418651402,0.12722413763048124,0.0023791922018558953,0.402,0.8305555555555556,0.9862740965862064,10.0,1.4957312352473284
Flow matching,linear ablation,7,1557,0.0506978752091527,0.08686666554381617,0.0019922416369491103,0.478,0.7611111111111111,0.98505087272912,10.0,1.44166490174561
Diffusion,mlp,0,1550,0.034364374820142984,0.10079697272916022,0.0017388482726010679,0.73,0.9638888888888889,0.9966067135674351,10.0,1.1285079816529873
Diffusion,mlp,1,1551,0.033335791900753975,0.12078734560293114,0.0022524143335096447,0.7,0.925,0.9965524495864214,10.0,1.1459140147590408
Diffusion,mlp,2,1552,0.030915291979908943,0.12208877473953272,0.002086508264433462,0.716,0.925,0.9942611633948119,10.0,1.1068960844149673
Diffusion,mlp,3,1553,0.03068341687321663,0.12868586245493496,0.002248608802469132,0.728,0.9555555555555556,0.9966951518176975,10.0,1.0687250585891364
Diffusion,mlp,4,1554,0.034799166955053806,0.14512154988028136,0.003585635513937424,0.754,0.9583333333333334,0.9887455712472715,10.0,1.0724067915537345
Diffusion,mlp,5,1555,0.02949995780363679,0.06655076081860756,0.0010745665057456666,0.766,0.9305555555555556,0.9941795195448642,10.0,1.0918455242896172
Diffusion,mlp,6,1556,0.0303252087906003,0.13133771179199982,0.0024488938928761694,0.726,0.9472222222222222,0.9951238844398097,10.0,1.1147008757323686
Diffusion,mlp,7,1557,0.030140750110149384,0.11083500371820598,0.0027599878494513064,0.744,0.9555555555555556,0.9918282133480835,10.0,1.0913673814790004
Diffusion,linear ablation,0,1550,0.02439508307725191,0.07998617150654397,0.0013116788423837011,0.422,0.8194444444444444,0.9839398571775264,10.0,1.4985147363945135
Diffusion,linear ablation,1,1551,0.023278292268514633,0.09013296564361539,0.0018850913766792488,0.428,0.7833333333333333,0.9872023596295301,10.0,1.5060602993350138
Diffusion,linear ablation,2,1552,0.023218499962240458,0.10243604261697214,0.0015584007144584522,0.478,0.8055555555555556,0.9878256410994123,10.0,1.4762184252396788
Diffusion,linear ablation,3,1553,0.02428683266043663,0.10595311758379466,0.0016880714476725789,0.456,0.8055555555555556,0.9868710674499351,10.0,1.447985473577338
Diffusion,linear ablation,4,1554,0.02544762473553419,0.11002416925029124,0.0026759236644391393,0.48,0.8277777777777777,0.976141823833651,10.0,1.4561200383577364
Diffusion,linear ablation,5,1555,0.02399849984794855,0.06296258087153461,0.0010064222539287737,0.456,0.8055555555555556,0.9894491558071604,10.0,1.471830634107235
Diffusion,linear ablation,6,1556,0.026908082887530327,0.1286532559824849,0.00246812751690495,0.426,0.8222222222222222,0.981370667471212,10.0,1.4811369508183034
Diffusion,linear ablation,7,1557,0.026329583022743464,0.07962424711289984,0.0020067137356696296,0.492,0.7805555555555556,0.9828673232698607,10.0,1.4330668486253118
VAE,mlp,0,1550,0.0023017083294689655,0.3144544995444516,0.006054420022828522,0.628,0.7916666666666666,0.9748677647820777,10.0,1.2499148437032863
VAE,mlp,1,1551,0.001203083898872137,0.2920558428274287,0.005743680270841489,0.684,0.8388888888888889,0.9862527105363715,10.0,1.2220648964337157
VAE,mlp,2,1552,0.0011012498289346695,0.25804500360766625,0.004621330594088313,0.614,0.8833333333333333,0.974638762191262,10.0,1.2466798635725884
VAE,mlp,3,1553,0.0008678329177200794,0.22803166335927472,0.0038672512763815448,0.666,0.8527777777777777,0.9824640601442761,10.0,1.2364273511047488
VAE,mlp,4,1554,0.0012408746406435966,0.2429940314556358,0.003951357346907214,0.666,0.875,0.9711749573234427,10.0,1.259202911611281
VAE,mlp,5,1555,0.0011420832015573978,0.23892016498681024,0.0037741698015334446,0.62,0.8722222222222222,0.9815774174862977,10.0,1.2608122999846245
VAE,mlp,6,1556,0.0010462920181453228,0.2558569621080711,0.0037398010411342497,0.63,0.8722222222222222,0.9784333211429052,10.0,1.242726692800988
VAE,mlp,7,1557,0.0018527079373598099,0.26182877579390684,0.004835237915560953,0.642,0.8083333333333333,0.9750330097680258,10.0,1.2553589276606967
Gaussian mixture,classical baseline,0,1550,0.003895749803632498,0.08245223243849864,0.0012638332509689043,0.862,0.8722222222222222,0.9971176018151111,10.0,0.9565745481826846
Gaussian mixture,classical baseline,1,1551,0.0007928749546408653,0.07765488239459728,0.0014377898796951172,0.828,0.8777777777777778,0.9931349277802829,10.0,0.9538770111223114
Gaussian mixture,classical baseline,2,1552,0.0008074999786913395,0.08387206431733851,0.0015353735434178173,0.822,0.8916666666666667,0.9965076176823332,10.0,0.9370229052581966
Gaussian mixture,classical baseline,3,1553,0.0009435419924557209,0.11345659240073047,0.001461720707423897,0.826,0.8611111111111112,0.9957073127933885,10.0,0.9691808687933142
Gaussian mixture,classical baseline,4,1554,0.0008085831068456173,0.08426132123177155,0.0010658302918216123,0.808,0.8638888888888889,0.9970541068490796,10.0,0.954251766108732
Gaussian mixture,classical baseline,5,1555,0.000740458257496357,0.07228198339392833,0.0010687672947917726,0.818,0.8916666666666667,0.998062845349204,10.0,0.9587028955331467
Gaussian mixture,classical baseline,6,1556,0.000848792027682066,0.11132224942076618,0.0019356926407880781,0.806,0.8777777777777778,0.9973358408838815,10.0,0.9365873857112131
Gaussian mixture,classical baseline,7,1557,0.0007154582999646664,0.09206095549186877,0.0017374105558138897,0.816,0.8722222222222222,0.9955631666505564,10.0,0.9643258043867169
