family,implementation,replicate,n_samples,seconds,samples_per_second
Flow matching,mlp,0,500,0.07948554120957851,6290.452230571801
Flow matching,mlp,1,500,0.07127549964934587,7015.033250694142
Flow matching,mlp,2,500,0.07438499992713332,6721.785312761903
Flow matching,mlp,3,500,0.09988504182547331,5005.754524022103
Flow matching,mlp,4,500,0.0705012921243906,7092.068598087724
Flow matching,mlp,5,500,0.07077937480062246,7064.20481119597
Flow matching,mlp,6,500,0.0714964997023344,6993.349353907946
Flow matching,mlp,7,500,0.06289274990558624,7950.041948405712
Flow matching,linear ablation,0,500,0.04831349989399314,10349.074298013451
Flow matching,linear ablation,1,500,0.049783708062022924,10043.446329411141
Flow matching,linear ablation,2,500,0.0674396250396967,7414.038848906517
Flow matching,linear ablation,3,500,0.05276987515389919,9475.102954892149
Flow matching,linear ablation,4,500,0.0540519580245018,9250.35869696616
Flow matching,linear ablation,5,500,0.05297629162669182,9438.184226320547
Flow matching,linear ablation,6,500,0.0500645418651402,9987.108268100394
Flow matching,linear ablation,7,500,0.0506978752091527,9862.346260810018
Diffusion,mlp,0,500,0.034364374820142984,14549.951879436507
Diffusion,mlp,1,500,0.033335791900753975,14998.893726256169
Diffusion,mlp,2,500,0.030915291979908943,16173.225869092137
Diffusion,mlp,3,500,0.03068341687321663,16295.447213913358
Diffusion,mlp,4,500,0.034799166955053806,14368.160038020282
Diffusion,mlp,5,500,0.02949995780363679,16949.1767862244
Diffusion,mlp,6,500,0.0303252087906003,16487.932645495308
Diffusion,mlp,7,500,0.030140750110149384,16588.837310708917
Diffusion,linear ablation,0,500,0.02439508307725191,20495.933480392338
Diffusion,linear ablation,1,500,0.023278292268514633,21479.238864797728
Diffusion,linear ablation,2,500,0.023218499962240458,21534.55222400822
Diffusion,linear ablation,3,500,0.02428683266043663,20587.287234638152
Diffusion,linear ablation,4,500,0.02544762473553419,19648.199201154406
Diffusion,linear ablation,5,500,0.02399849984794855,20834.635630057568
Diffusion,linear ablation,6,500,0.026908082887530327,18581.777159297686
Diffusion,linear ablation,7,500,0.026329583022743464,18990.046274872664
VAE,mlp,0,500,0.0023017083294689655,217229.95637564408
VAE,mlp,1,500,0.001203083898872137,415598.61325443577
VAE,mlp,2,500,0.0011012498289346695,454029.5824460573
VAE,mlp,3,500,0.0008678329177200794,576147.7696807942
VAE,mlp,4,500,0.0012408746406435966,402941.58944264357
VAE,mlp,5,500,0.0011420832015573978,437796.4751763941
VAE,mlp,6,500,0.0010462920181453228,477878.06016747555
VAE,mlp,7,500,0.0018527079373598099,269875.2404075744
