family,implementation,note,fit_seconds,train_roc_auc,train_average_precision,train_accuracy,train_balanced_accuracy,train_precision,train_recall_sensitivity,train_specificity,train_f1,train_log_loss,train_brier_score,test_roc_auc,test_average_precision,test_accuracy,test_balanced_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_f1,test_log_loss,test_brier_score
Logistic none,scratch,Mean cross-entropy without a coefficient penalty.,0.33353892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00010911,4e-07,0.98363095,0.96481952,0.96491228,0.95734127,0.975,0.92857143,0.98611111,0.95121951,0.72533448,0.0303797
Logistic none,library,Mean cross-entropy without a coefficient penalty.,0.00770146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1e-08,0.0,0.97734788,0.96116671,0.98245614,0.98115079,0.97619048,0.97619048,0.98611111,0.97619048,0.63411934,0.01770951
Logistic L1,scratch,Proximal soft-thresholding compared with liblinear L1.,0.188707,0.99898865,0.99842662,0.98901099,0.9876677,0.98816568,0.98235294,0.99298246,0.98525074,0.04865192,0.01258952,0.99007937,0.98936877,0.97368421,0.96428571,1.0,0.92857143,1.0,0.96296296,0.09517257,0.02072269
Logistic L1,library,Proximal soft-thresholding compared with liblinear L1.,0.00686125,0.99896801,0.99839787,0.98901099,0.9876677,0.98816568,0.98235294,0.99298246,0.98525074,0.04811347,0.01232873,0.99107143,0.99068323,0.97368421,0.96428571,1.0,0.92857143,1.0,0.96296296,0.08806648,0.0184944
Logistic L2,scratch,Accelerated gradient compared with L-BFGS L2.,0.11628029,0.99867905,0.99799473,0.98901099,0.98648091,0.99401198,0.97647059,0.99649123,0.9851632,0.04817657,0.01228846,0.98875661,0.98820097,0.97368421,0.96428571,1.0,0.92857143,1.0,0.96296296,0.09874444,0.02045734
Logistic L2,library,Accelerated gradient compared with L-BFGS L2.,0.00367671,0.99867905,0.99799473,0.98901099,0.98648091,0.99401198,0.97647059,0.99649123,0.9851632,0.04817656,0.01228846,0.98875661,0.98820097,0.97368421,0.96428571,1.0,0.92857143,1.0,0.96296296,0.09874451,0.02045737
Random forest,scratch,Bootstrap trees with random feature subsets at every split.,0.32423538,0.99946336,0.99918736,0.99120879,0.98823529,1.0,0.97647059,1.0,0.98809524,0.05563914,0.01162089,0.99140212,0.9895321,0.96491228,0.95734127,0.975,0.92857143,0.98611111,0.95121951,0.10654286,0.02721801
Random forest,library,Bootstrap trees with random feature subsets at every split.,0.06588863,0.99931889,0.99895589,0.99120879,0.98942208,0.99404762,0.98235294,0.99649123,0.98816568,0.05693639,0.01212479,0.99239418,0.99005781,0.97368421,0.96924603,0.97560976,0.95238095,0.98611111,0.96385542,0.10054916,0.02584502
AdaBoost,scratch,Weighted decision stumps with exponential-loss reweighting.,1.39151704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00116335,3.43e-05,0.99305556,0.99175262,0.97368421,0.96924603,0.97560976,0.95238095,0.98611111,0.96385542,0.11771695,0.01597519
AdaBoost,library,Weighted decision stumps with exponential-loss reweighting.,0.13278583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35850177,0.09346188,0.99305556,0.99175262,0.97368421,0.96924603,0.97560976,0.95238095,0.98611111,0.96385542,0.37489998,0.10119894
Gradient boosting,scratch,Trees fit sequentially to the negative binomial-loss gradient.,1.91491642,0.99623323,0.99448536,0.97142857,0.96532508,0.98159509,0.94117647,0.98947368,0.96096096,0.19679788,0.03828493,0.99239418,0.98830767,0.95614035,0.94543651,0.97435897,0.9047619,0.98611111,0.9382716,0.21664209,0.04697613
Gradient boosting,library,Trees fit sequentially to the negative binomial-loss gradient.,0.18403708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02320618,0.00251722,0.99404762,0.9920462,0.96491228,0.96230159,0.95238095,0.95238095,0.97222222,0.95238095,0.0824169,0.0211975
XGBoost style,scratch,Exact classroom Newton trees compared with production XGBoost hist.,1.16847625,0.99987616,0.99979439,0.99120879,0.98942208,0.99404762,0.98235294,0.99649123,0.98816568,0.0392084,0.00729356,0.99272487,0.99117189,0.97368421,0.96924603,0.97560976,0.95238095,0.98611111,0.96385542,0.08735919,0.02006971
XGBoost style,library,Exact classroom Newton trees compared with production XGBoost hist.,0.03968787,0.99985552,0.99976059,0.99120879,0.98942208,0.99404762,0.98235294,0.99649123,0.98816568,0.04112661,0.00758372,0.99074074,0.98942771,0.96491228,0.95734127,0.975,0.92857143,0.98611111,0.95121951,0.0940923,0.0222717
LightGBM style,scratch,Quantile histograms and leaf-wise growth compared with LightGBM.,1.29256742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01918131,0.00186689,0.99272487,0.99030318,0.97368421,0.97420635,0.95348837,0.97619048,0.97222222,0.96470588,0.09031407,0.02315536
LightGBM style,library,Quantile histograms and leaf-wise growth compared with LightGBM.,0.02238587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01825167,0.00162921,0.99437831,0.99187255,0.95614035,0.95039683,0.95121951,0.92857143,0.97222222,0.93975904,0.09524637,0.02726015
