penalty,reg_strength,validation_log_loss,coefficient_l1_norm,coefficient_l2_norm,nonzero_coefficients,iterations
L1,0.0001,0.11357471,129.68208438,36.15721533,27,6000
L1,0.00027384,0.07529922,51.22894616,17.40184116,18,6000
L1,0.00074989,0.07237939,26.5941137,8.92655503,16,6000
L1,0.00205353,0.08555804,15.21854857,6.47569341,11,4166
L1,0.00562341,0.11155047,9.33803723,4.44152173,11,2169
L1,0.01539927,0.14816429,5.70127485,3.02153143,7,2245
L1,0.04216965,0.20697772,3.34988337,1.93626378,5,2073
L1,0.1154782,0.32681232,1.65187256,1.17011163,2,362
L1,0.31622777,0.57026577,0.31122115,0.23320608,2,356
L2,0.0001,0.05618166,55.95709188,12.95097316,30,2973
L2,0.00027384,0.04720915,34.16197605,8.26662995,30,1540
L2,0.00074989,0.04743051,24.03352501,5.40745441,30,1246
L2,0.00205353,0.05612373,17.91657245,3.76905403,30,1133
L2,0.00562341,0.07215387,13.4264874,2.76574779,30,1830
L2,0.01539927,0.09572933,9.80926605,2.03977712,30,1599
L2,0.04216965,0.12832357,7.06495738,1.47911016,30,766
L2,0.1154782,0.17400068,5.00001988,1.04668128,30,305
L2,0.31622777,0.23755674,3.45401669,0.71806795,30,160
